seq_id	YP_009165488.1	58.904	73	11	5	101	274	9	77	2.01e-13	59.3
seq_id	YP_009164968.1	58.904	73	11	5	101	274	9	77	2.01e-13	59.3
seq_id	YP_009165487.1	56.790	81	22	6	338	117	96	170	2.43e-12	59.3
seq_id	YP_009165487.1	60.000	50	8	3	248	123	93	138	1.89e-06	42.7
seq_id	YP_009165487.1	54.167	48	11	2	223	113	3	50	5.50e-06	41.6
seq_id	YP_009165487.1	74.074	27	6	1	398	321	135	161	9.77e-06	34.7
seq_id	YP_009165487.1	62.857	35	8	3	270	169	184	214	9.77e-06	27.7
seq_id	YP_009164969.1	56.790	81	22	6	338	117	96	170	2.43e-12	59.3
seq_id	YP_009164969.1	60.000	50	8	3	248	123	93	138	1.89e-06	42.7
seq_id	YP_009164969.1	54.167	48	11	2	223	113	3	50	5.50e-06	41.6
seq_id	YP_009164969.1	74.074	27	6	1	398	321	135	161	9.77e-06	34.7
seq_id	YP_009164969.1	62.857	35	8	3	270	169	184	214	9.77e-06	27.7
seq_id	YP_009165486.1	52.941	68	22	4	171	347	1	67	2.44e-08	46.2
seq_id	YP_009165486.1	54.000	50	17	3	307	438	21	70	7.52e-06	39.7
seq_id	YP_009164970.1	52.941	68	22	4	171	347	1	67	2.44e-08	46.2
seq_id	YP_009164970.1	54.000	50	17	3	307	438	21	70	7.52e-06	39.7
seq_id	YP_009164967.1	65.000	40	3	2	199	113	150	189	3.36e-07	44.7
seq_id	YP_009164967.1	90.476	21	2	0	435	373	169	189	3.43e-06	42.0
seq_id	YP_009164967.1	60.976	41	8	2	216	118	14	54	4.11e-04	36.2
seq_id	YP_009165489.1	65.000	40	3	2	199	113	137	176	3.38e-07	44.7
seq_id	YP_009165489.1	90.476	21	2	0	435	373	156	176	3.27e-06	42.0
seq_id	YP_009165489.1	60.976	41	8	2	216	118	1	41	3.97e-04	36.2
seq_id	YP_009165479.1	61.538	39	9	2	117	215	132	170	2.62e-05	39.7
seq_id	YP_009165479.1	71.429	21	6	0	117	179	196	216	7.32e-04	35.4
seq_id	YP_009164977.1	61.538	39	9	2	117	215	132	170	2.62e-05	39.7
seq_id	YP_009164977.1	71.429	21	6	0	117	179	196	216	7.32e-04	35.4
seq_id	YP_009165481.1	65.385	26	4	1	121	183	13	38	9.81e-05	35.8
seq_id	YP_009164975.1	65.385	26	4	1	121	183	13	38	9.81e-05	35.8
seq_id	YP_009165480.1	44.828	58	26	3	271	435	39	93	1.85e-04	35.4
seq_id	YP_009165480.1	53.125	32	15	0	167	262	1	32	1.85e-04	22.3
seq_id	YP_009164976.1	44.828	58	26	3	271	435	39	93	1.85e-04	35.4
seq_id	YP_009164976.1	53.125	32	15	0	167	262	1	32	1.85e-04	22.3
seq_id	YP_009165482.1	44.068	59	15	3	122	253	57	112	1.97e-04	37.4
seq_id	YP_009164974.1	44.068	59	15	3	122	253	57	112	1.97e-04	37.4
seq_id	YP_009165483.1	39.516	124	49	10	14	328	113	229	6.04e-04	35.8
seq_id	YP_009164973.1	39.516	124	49	10	14	328	113	229	6.04e-04	35.8
